hold,rank_abs_weight,ticker,weight,abs_weight
3,6,JNJ,0.04137708690343025,0.04137708690343025
3,7,COST,0.03515973387145697,0.03515973387145697
3,8,ICE,0.027869423515613785,0.027869423515613785
3,9,MET,0.02577628822304628,0.02577628822304628
3,10,AVGO,0.02425095907054043,0.02425095907054043
3,11,PG,0.02112486802957491,0.02112486802957491
3,12,XOM,0.020553128412966908,0.020553128412966908
3,13,LMT,0.020144183734660096,0.020144183734660096
3,14,CMCSA,0.019639558943296477,0.019639558943296477
3,15,AJG,0.01855031340666589,0.01855031340666589
3,16,AMGN,0.018544364798396225,0.018544364798396225
3,17,AMT,0.017786276807016645,0.017786276807016645
3,18,DD,0.01698481972540769,0.01698481972540769
3,19,HLT,0.016066820969891347,0.016066820969891347
3,20,ISRG,0.015965195187584644,0.015965195187584644
3,21,FTV,0.01518985099693408,0.01518985099693408
3,22,ADBE,0.015135111881253308,0.015135111881253308
3,23,ZTS,0.014364725698242525,0.014364725698242525
3,24,DIS,0.014257671969800078,0.014257671969800078
3,25,INTU,0.013924446794717165,0.013924446794717165
3,26,CTSH,0.013587412805666058,0.013587412805666058
3,27,ARE,0.013559590434581381,0.013559590434581381
3,28,LOW,0.01299087905249687,0.01299087905249687
3,29,DE,0.012964169567432533,0.012964169567432533
3,30,GL,0.012899312713595155,0.012899312713595155
3,31,BAC,0.01289858498571136,0.01289858498571136
3,32,NVDA,0.01256335988640741,0.01256335988640741
3,33,GS,0.012335189174598036,0.012335189174598036
3,34,HPE,0.012117382213371827,0.012117382213371827
3,35,PWR,0.012094093053162383,0.012094093053162383
3,36,COO,0.01196520027541395,0.01196520027541395
3,37,ADP,0.011024025387242826,0.011024025387242826
3,38,T,0.01028992854598256,0.01028992854598256
3,39,PYPL,0.009739565216228974,0.009739565216228974
3,40,PPL,0.009664262145766826,0.009664262145766826
3,41,MRK,0.009576982667745329,0.009576982667745329
3,42,MNST,0.009455072809138194,0.009455072809138194
3,43,AMD,0.009447673211618919,0.009447673211618919
3,44,MO,0.009304463128599585,0.009304463128599585
3,45,TGT,0.009303587083831949,0.009303587083831949
3,46,INTC,0.009288953381281198,0.009288953381281198
3,47,ALB,0.009047915134031307,0.009047915134031307
3,48,PNC,0.009034595365183916,0.009034595365183916
3,49,CRM,0.009031379060727807,0.009031379060727807
3,50,UNH,0.008577969409881148,0.008577969409881148
4,1,AAPL,0.06656772235649458,0.06656772235649458
4,2,GOOG,0.0651853164594745,0.0651853164594745
4,3,BRK-B,0.06183107279596079,0.06183107279596079
4,4,MSFT,0.057564735842142875,0.057564735842142875
4,5,AMZN,0.04196297786007292,0.04196297786007292
4,6,JNJ,0.04137708690343025,0.04137708690343025
4,7,COST,0.03515973387145697,0.03515973387145697
4,8,ICE,0.027869423515613785,0.027869423515613785
4,9,MET,0.02577628822304628,0.02577628822304628
4,10,AVGO,0.02425095907054043,0.02425095907054043
4,11,PG,0.02112486802957491,0.02112486802957491
4,12,XOM,0.020553128412966908,0.020553128412966908
4,13,LMT,0.020144183734660096,0.020144183734660096
4,14,CMCSA,0.019639558943296477,0.019639558943296477
4,15,AJG,0.01855031340666589,0.01855031340666589
4,16,AMGN,0.018544364798396225,0.018544364798396225
4,17,AMT,0.017786276807016645,0.017786276807016645
4,18,DD,0.01698481972540769,0.01698481972540769
4,19,HLT,0.016066820969891347,0.016066820969891347
4,20,ISRG,0.015965195187584644,0.015965195187584644
4,21,FTV,0.01518985099693408,0.01518985099693408
4,22,ADBE,0.015135111881253308,0.015135111881253308
4,23,ZTS,0.014364725698242525,0.014364725698242525
4,24,DIS,0.014257671969800078,0.014257671969800078
4,25,INTU,0.013924446794717165,0.013924446794717165
4,26,CTSH,0.013587412805666058,0.013587412805666058
4,27,ARE,0.013559590434581381,0.013559590434581381
4,28,LOW,0.01299087905249687,0.01299087905249687
4,29,DE,0.012964169567432533,0.012964169567432533
4,30,GL,0.012899312713595155,0.012899312713595155
4,31,BAC,0.01289858498571136,0.01289858498571136
4,32,NVDA,0.01256335988640741,0.01256335988640741
4,33,GS,0.012335189174598036,0.012335189174598036
4,34,HPE,0.012117382213371827,0.012117382213371827
4,35,PWR,0.012094093053162383,0.012094093053162383
4,36,COO,0.01196520027541395,0.01196520027541395
4,37,ADP,0.011024025387242826,0.011024025387242826
4,38,T,0.01028992854598256,0.01028992854598256
4,39,PYPL,0.009739565216228974,0.009739565216228974
4,40,PPL,0.009664262145766826,0.009664262145766826
4,41,MRK,0.009576982667745329,0.009576982667745329
4,42,MNST,0.009455072809138194,0.009455072809138194
4,43,AMD,0.009447673211618919,0.009447673211618919
4,44,MO,0.009304463128599585,0.009304463128599585
4,45,TGT,0.009303587083831949,0.009303587083831949
4,46,INTC,0.009288953381281198,0.009288953381281198
4,47,ALB,0.009047915134031307,0.009047915134031307
4,48,PNC,0.009034595365183916,0.009034595365183916
4,49,CRM,0.009031379060727807,0.009031379060727807
4,50,UNH,0.008577969409881148,0.008577969409881148
5,1,AAPL,0.06656772235649458,0.06656772235649458
5,2,GOOG,0.0651853164594745,0.0651853164594745
5,3,BRK-B,0.06183107279596079,0.06183107279596079
5,4,MSFT,0.057564735842142875,0.057564735842142875
5,5,AMZN,0.04196297786007292,0.04196297786007292
5,6,JNJ,0.04137708690343025,0.04137708690343025
5,7,COST,0.03515973387145697,0.03515973387145697
5,8,ICE,0.027869423515613785,0.027869423515613785
